YLCO: Global X YieldCo & Renewable Energy Income ETF
Inception Date: 2015-05-27
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	88625
Shares Outstanding: 4850000
Expense Ratio: 0.65%
Tracks This Index: Indxx Global YieldCo Index
ETFdb.com Category: Alternative Energy Equities
Issuer: Global X
Structure: ETF
ETF Home Page: https://etfdb.com/etf/YLCO


Holding,Symbol,Weighting
Meridian Energy Limited,MEL,7.52%
Brookfield Renewable Partners LP,BEP.UT,6.92%
EDP-Energias de Portugal SA,EDP,6.05%
Enel Americas S.A.,ENELAM,5.44%
Algonquin Power & Utilities Corp.,AQN,5.43%
Northland Power Inc.,NPI,4.06%
ENGIE Brasil Energia S.A.,EGIE3,3.88%
Mercury NZ Ltd.,MCY,3.63%
AGL Energy Limited,AGL,3.3%
Enel Chile SA,ENELCHILE,3.16%
Xinyi Energy Holdings Limited,3868,2.72%
"TransAlta Renewables, Inc.",RNW,2.69%
"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",HASI,2.67%
"IDACORP, Inc.",IDA,2.63%
Contact Energy Limited,CEN,2.63%
Federal Hydro-Generating Company - RusHydro PJSC,HYDR,2.56%
ERG S.p.A.,ERG,2.56%
Acea S.p.A.,ACE,2.55%
NextEra Energy Partners LP,NEP,2.49%
Atlantica Sustainable Infrastructure plc,AY,2.28%
Encavis AG,ECV,2.25%
Boralex Inc. Class A,BLX,2.2%
Innergex Renewable Energy Inc.,INE,2.19%
"Hawaiian Electric Industries, Inc.",HE,2.17%
Infratil Limited,IFT,2.17%
China Longyuan Power Group Corp. Ltd. Class H,916,2.12%
Colbun S.A.,COLBUN,1.81%
Renewables Infrastructure Group Limited GBP Red.Shs,TRIG,1.74%
NorthWestern Corporation,NWE,1.65%
Greencoat UK Wind Plc,UKW,1.59%
Avista Corporation,AVA,1.53%
"Xinjiang Goldwind Science & Technology Co., Ltd. Class H",2208,0.96%
U.S. Dollar,Other,0.83%
"Clearway Energy, Inc. Class A",CWEN.A,0.61%
BCPG Public Company Limited NVDR,BCPG.R,0.59%
Gunkul Engineering Public Co. Ltd. NVDR,GUNKUL.R,0.43%
