YOLO: AdvisorShares Pure Cannabis ETF
Inception Date: 2019-04-17
Fund Holdings as of: 2021-01-05
Total Assets Under Management (in thousands):	163558
Shares Outstanding: 9325000
Expense Ratio: 0.74%
Tracks This Index: n/a
ETFdb.com Category: Small Cap Blend Equities
Issuer: AdvisorShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/YOLO


Holding,Symbol,Weighting
MUTUAL FUND (OTHER),Other,35.93%
DERIVATIVE SECURITIES (OTHER),Other,18.35%
"Village Farms International, Inc.",VFF,8.93%
Innovative Industrial Properties Inc,IIPR,6.58%
GrowGeneration Corp.,GRWG,6.09%
GW Pharmaceuticals PLC Sponsored ADR,GWPH,4.61%
Aphria Inc,APHA,3.45%
Canopy Growth Corporation,WEED,2.87%
"Arena Pharmaceuticals, Inc.",ARNA,1.76%
"Greenlane Holdings, Inc. Class A",GNLN,1.74%
"cbdMD, Inc.",YCBD,1.28%
"Canopy Rivers, Inc. Class A",RIV,1.12%
"Charlotte\'s Web Holdings, Inc.",CWEB,1.12%
"Aleafia Health, Inc.",AH,0.94%
Valens Company Inc,VLNS,0.68%
Zynerba Pharmaceuticals Inc,ZYNE,0.62%
Andina Acquisition Corp. III,ANDA,0.51%
Power REIT,PW,0.47%
"Cardiol Therapeutics, Inc. Class A",CRDL,0.45%
"Neptune Wellness Solutions, Inc.",NEPT,0.43%
OrganiGram Holdings Inc,OGI,0.27%
Corbus Pharmaceuticals Holdings Inc,CRBP,0.23%
Intec Pharma Ltd,NTEC,0.19%
"Emerald Health Therapeutics, Inc.",EMH,0.18%
MediPharm Labs Corp.,LABS,0.16%
HEXO Corp.,HEXO,0.14%
Khiron Life Sciences Corp.,KHRN,0.13%
Cronos Group Inc,CRON,0.13%
EQUITY OTHER,Other,0.11%
"Tilray, Inc.",TLRY,0.1%
"WeedMD, Inc.",WMD,0.1%
Aurora Cannabis Inc.,ACB,0.1%
Green Organic Dutchman Holdings Ltd.,TGOD,0.1%
Supreme Cannabis Company Inc,FIRE,0.09%
U.S. Dollar,Other,0.04%
