ZGBR: SPDR Solactive United Kingdom ETF
Inception Date: 2014-06-11
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	13869
Shares Outstanding: 300000
Expense Ratio: 0.14%
Tracks This Index: Solactive GBS United Kingdom Large & Mid Cap Index
ETFdb.com Category: Europe Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ZGBR


Holding,Symbol,Weighting
AstraZeneca PLC,AZN,5.54%
HSBC Holdings Plc,HSBA,4.59%
GlaxoSmithKline plc,GSK,4.09%
Diageo plc,DGE,4.07%
British American Tobacco p.l.c.,BATS,3.74%
Rio Tinto plc,RIO,3.64%
Royal Dutch Shell Plc Class A,RDSA,3.15%
BP p.l.c.,BP,3.06%
Unilever PLC,ULVR,2.92%
Reckitt Benckiser Group plc,RB,2.86%
Royal Dutch Shell Plc Class B,RDSB,2.57%
BHP Group Plc,BHP,2.48%
Prudential plc,PRU,2.14%
RELX PLC,REL,2.11%
Vodafone Group Plc,VOD,1.97%
London Stock Exchange Group plc,LSE,1.93%
National Grid plc,NG,1.84%
Anglo American plc,AAL,1.77%
Glencore plc,GLEN,1.76%
Experian PLC,EXPN,1.58%
Barclays PLC,BARC,1.48%
Lloyds Banking Group plc,LLOY,1.46%
Compass Group PLC,CPG,1.45%
Tesco PLC,TSCO,1.38%
Ferguson Plc,FERG,1.18%
SSE plc,SSE,0.95%
BAE Systems plc,BA,0.94%
Ashtead Group plc,AHT,0.93%
Legal & General Group Plc,LGEN,0.92%
Fiat Chrysler Automobiles N.V.,FCA,0.9%
Standard Chartered PLC,STAN,0.87%
Imperial Brands PLC,IMB,0.87%
Smith & Nephew plc,SN,0.81%
Aviva plc,AV,0.76%
Ocado Group PLC,OCDO,0.71%
BT Group plc,BT.A,0.7%
SEGRO plc,SGRO,0.69%
3i Group plc,III,0.68%
Rentokil Initial plc,RTO,0.58%
WPP Plc,WPP,0.58%
Halma plc,HLMA,0.57%
Intertek Group plc,ITRK,0.56%
CNH Industrial NV,CNHI,0.55%
Farfetch Limited Class A,FTCH,0.55%
Clarivate PLC,CCC,0.54%
Croda International Plc,CRDA,0.51%
Next plc,NXT,0.51%
Rolls-Royce Holdings plc,RR,0.51%
Persimmon Plc,PSN,0.51%
Spirax-Sarco Engineering PLC,SPX,0.51%
Bunzl plc,BNZL,0.5%
Melrose Industries PLC,MRO,0.5%
Entain PLC,ENT,0.5%
Mondi plc,MNDI,0.5%
InterContinental Hotels Group PLC,IHG,0.49%
Informa Plc,INF,0.48%
Associated British Foods plc,ABF,0.47%
U.S. Dollar,Other,0.46%
Admiral Group plc,ADM,0.46%
NatWest Group Plc,NWG,0.44%
Burberry Group plc,BRBY,0.44%
RSA Insurance Group plc,RSA,0.42%
Barratt Developments PLC,BDEV,0.4%
International Consolidated Airlines Group SA,IAG,0.4%
Standard Life Aberdeen PLC,SLA,0.38%
Sage Group plc,SGE,0.38%
Liberty Global Plc Class C,LBTYK,0.38%
Smiths Group Plc,SMIN,0.37%
United Utilities Group PLC,UU,0.37%
St. James\'s Place Plc,STJ,0.37%
Whitbread PLC,WTB,0.36%
Kingfisher Plc,KGF,0.35%
Berkeley Group Holdings plc,BKG,0.34%
Severn Trent Plc,SVT,0.34%
Rightmove plc,RMV,0.34%
Auto Trader Group PLC,AUTO,0.34%
Taylor Wimpey plc,TW,0.33%
Weir Group PLC,WEIR,0.32%
Antofagasta plc,ANTO,0.31%
Pearson PLC,PSON,0.31%
DCC Plc,DCC,0.31%
DS Smith Plc,SMDS,0.31%
Phoenix Group Holdings plc,PHNX,0.31%
M&G Plc,MNG,0.3%
Land Securities Group PLC,LAND,0.3%
J Sainsbury plc,SBRY,0.3%
Hargreaves Lansdown plc,HL,0.29%
Johnson Matthey Plc,JMAT,0.29%
Coca-Cola European Partners Plc,CCEP,0.29%
Direct Line Insurance Group Plc,DLG,0.27%
Wm Morrison Supermarkets plc,MRW,0.26%
British Land Company PLC,BLND,0.24%
Schroders PLC,SDR,0.24%
ITV PLC,ITV,0.23%
AVEVA Group plc,AVV,0.22%
Hikma Pharmaceuticals Plc,HIK,0.22%
JD Sports Fashion Plc,JD,0.21%
ASOS plc,ASC,0.21%
ConvaTec Group Plc,CTEC,0.2%
Avast Plc,AVST,0.2%
Evraz PLC,EVR,0.17%
easyJet plc,EZJ,0.15%
Liberty Global Plc Class A,LBTYA,0.15%
Fresnillo PLC,FRES,0.14%
Carnival plc,CCL,0.12%
State Street Institutional Liquid Reserves Fund,SSIXX,0.01%
